Friends of Salmon Bay - Proposed Budget 2025-2026,,
,,
Salmon Bay School Emerging Needs,,"Funds available to support needs as they arise through the year including Kiln repair, new committee initiatives, Seminars for students, and more! "
Emerging Needs Fund,"$6,000",Placeholder for emerging expenses
Emerging Committee Needs,"$2,500",Placeholder for emerging expenses
Professional Development,"$3,000",
Classroom Support,"$6,575",40 teachers @ $150 plus extras
Racial Equity Fund,"$8,000",
Teacher and Staff Mini-grant Fund,"$7,000",
,,
,"$33,075",
School Grant-Staff,,"Funding to fill the gap left by the district to support essential staff and faculty for the school year extending nurse and reading specialist availability, increasing days for administrative secretary to accommodate scheduling, kindergarten readiness days and more. "
Grant,"$140,000",
Kindergarten Readiness 2025,"$7,000",Agreed at June 2025 Finance Committee
Total Salmon Bay Support,"$147,000",
,,
Additional School Support,,"Supports yearly activities and supplies like graduations, , Lantern Festival, Yearbooks, and Supplies for exploratory studies,WEB, and SEP"
5th Grade Promotion,$600,Moving up ceremony and activities
8th Grade Graduation,"$1,800",Moving up ceremony and activities
Cafetorium Update,"$3,200",Speakers and tech for auditorium
Drama Stage Tech,"$1,500","Supplies for sets, costumes, performance fees"
Elementary SEP Supplies,"$1,000",Outside instructors
Kindergarten T-shirts 2026/27,$900,Salmon Bay t-shirts for incoming Kindergarteners
Lantern Festival,$500,Winter Solstice lantern festival supplies
Library (FAN Restricted Fund Use),$0,Fund-A-Need from 2024 auction
Middle School Exploratory Supplies,"$2,000",Teacher supplies for MS Exploratory Classes
PE and Middle School Athletics,"$3,500",PE supplies and athletics support
Spring Ultimate Frisbee,$0,Team jerseys and equipment
WEB T-shirts and Supplies,"$1,400",Participant t-shirts for WEB leadership
Yearbooks,"$9,000",Provided to all elementary and middle students
Background Checks Scholarship,$150,
Community Connection Events,$200,"Connect students, staff, parents, community"
New Student Welcome,$500,
Volunteer Coordinator Support - other,$200,
Evening Staffing Support,"$5,000",Support for evening events
,"$31,450",
,,
Scholarships & Equity,,"Scholarships for Fall Connections, K-8 camps, after school activities, SEP, School supplies, and enrichment fees "
FOSB Scholarships,"$56,000",
Total Scholarships & Equity,"$56,000",
,,
FOSB Operating Costs,,"Covers FOSB administrative operations including liability insurance, bookkeeper fees, communications, QuickBooks license, state/city filings, and supplies."
Annual Liability Insurance,$600,
Bookkeeper Fees,"$5,000","Tax filing, financial reporting"
"Communications - Zoom, Website, Newsletter",$900,
Annual Director Planning Meeting,$240,Review past year and plan for next
Meeting Expenses,$700,Childcare for in-person FOSB meetings
QuickBooks License Renewal,$100,Software for check printing and tracking
State/City Filings,$300,Annual non-profit filings
Supplies,$430,"Paper, check stock, etc."
,"$8,270",
,,
Committee Support,,"Supports school community engagement including grade level events (BCI), Pi Night, staff appreciation, traffic safety, sustainability initiatives, fundraising expenses, advocacy participation, and PIE Speakers (Parent Information Exchange)"
Advocacy and Legislative,$500,"City, county, state level advocacy"
After School Programs,$0,Placeholder
Auction Expenses,"$4,000","Auctioneer, rentals, invitations"
CANSSPA Partnership,$0,Membership and family donation opportunity
Building Community Initiative (BCI),"$5,000","Pi night, lantern festival, Book-a-Day"
Direct Giving Expenses,$750,
Garden and Grounds,$300,Fall fundraiser
Parent Information Exchange (PIE),"$3,500",
Staff Support and Appreciation,"$4,100",
Traffic Safety,$500,Materials and signage for pedestrian/cyclist safety
Sustainability Comittee,$500,New this year.  Money from Emerging committee Fund
,"$19,150",
,,
TOTAL EXPENSES,"$294,945",
